10,NYAMIRA,NYANSAKIA HEALTH CENTRE
11,NYAMIRA,TINGA HEALTH CENTRE
,,NYANDARUA COUNTY
1,NYAHURURU,NGANO HEALTH CENTRE
2,OL’KALOU,BAMBOO HEALTH CENTRE
3,OL’KALOU,ENGINEER DISTRICT HOSPITAL
4,OL’KALOU,HENI HEALTH CENTRE
5,OL’KALOU,KARANGATHA HEALTH CENTRE
6,OL’KALOU,MANUNGA HEALTH CENTRE
7,OL’KALOU,MIRANGINE HEALTH CENTRE
8,OL’KALOU,NDARAGWA HEALTH CENTRE
9,OL’KALOU,NDEMI HEALTH CENTRE
10,OL’KALOU,NJAMBINI HEALTH CENTRE
11,OL’KALOU,NYAHURURU DISTRICT HOSPITAL
12,OL’KALOU,OL’KALOU DISTRICT HOSPITAL
13,OL’KALOU,WANJOHI HEALTH CENTRE
14,OL’KALOU,BENEDICT XVI CATHOLIC DISPENSARY
15,OL’KALOU,CATHOLIC DISPENSARY DIMESE SISTERS
16,OL’KALOU,CHARITY MEDICAL CENTRE
17,OL’KALOU,FR BALOO CATHOLIC DISPENSARY
18,OL’KALOU,GOOD HOPE MEDICAL CENTRE
19,OL’KALOU,NJABINI CATHOLIC DISPENSARY
20,OL’KALOU,NORTH KINANGOP CATHOLIC HOSPITAL
21,OL’KALOU,NYAHURURU PRIVATE HOSPITAL
22,OL’KALOU,OLJABET ANNEX MEDICAL AND NURSING
,,HOME
23,OL’KALOU,OLJABET MEDICAL CENTRE - LAIKIPIA
24,OL’KALOU,OL-JOROOROK CATHOLIC DISPENSARY
25,OL’KALOU,PARTNERS IN LIFE SUPPORT HEALTH
,,SERVICES
26,OL’KALOU,SIPILI MATERNITY & NURSING HOME
27,OL’KALOU,ST. LAWRENCE DISPENSARY
28,OL’KALOU,ST. MATHEWS AND SARAH HEALTH CENTRE
29,OL’KALOU,WINGS MEDICAL AND EYE CLINIC
,,NYERI COUNTY
1,KARATINA,VIVA AFYA LIMITED - KARATINA
2,NYERI,BATIAN MEDICAL CENTRE
3,NYERI,CONSOLATA HOSPITAL (NYERI)
4,NYERI,MARY IMMACULATE HOSPITAL
5,NYERI,EBENEZER NURSING HOME
6,NYERI,EMMANUEL COMMUNITY HEALTH CLINIC
7,NYERI,JAMII HOSPITAL
8,NYERI,KARATINA MATERNITY AND NURSING HOME
9,NYERI,MT. KENYA HOSPITAL
10,NYERI,MUGUNDA CATHOLIC DISPENSARY
11,NYERI,P.C.E.A HOSPITAL(TUMUTUMU) KARATINA
12,NYERI,WAKA RURINGU MATERNITY
13,NYERI,NGURANO HEALTH CENTRE
14,NYERI,NYERI PRISON HOSPITAL NYERI
15,KARATINA,SAGANA HEALTH CENTRE
16,NYERI,BELLEVUE HEALTH CARE
17,NYERI,GICHICHE HEALTH CENTRE
18,NYERI,KARATINA DISTRICT HOSPITAL
19,NYERI,KIGANJO HEALTH CENTRE
20,NYERI,MUKURWE-INI SUB DISTRICT HOSPITAL
21,NYERI,NAROMORU HEALTH CENTRE
22,NYERI,NYERI PROVINCIAL GENERAL HOSPITAL
23,NYERI,OTHAYA SUB-DISTRICT HOSPITAL
24,NYERI,WARAZO HEALTH CENTRE
,,SAMBURU COUNTY
1,MARALAL,CATHOLIC HOSPITAL WAMBA VIA MARALAL
2,MARALAL,COUNTY MEDICARE LTD- MARALAL
3,MARALAL,SUGUTA MARMAR HEALTH CENTRE
4,MARALAL,BARAGOI SUB-DISTRICT HOSPITAL
5,MARALAL,MARALAL DISTRICT HOSPITAL
6,NANYUKI,SOUTH HORR CATHOLIC CENTRE
7,NANYUKI,SOUTH HORR DISPENSARY
8,NANYUKI,WAMBA DISTRICT HOSPITAL
,,SIAYA COUNTY
1,SIAYA,BAMA NURSING & MATERNITY HOME
2,SIAYA,BONDO MEDICAL CENTRE
3,SIAYA,DIVINE MERCY ALUOR HEALTH CENTRE
4,SIAYA,DOPHIL NURSING & MATERNITY HOME
5,SIAYA,INUKA HOSPITAL
6,SIAYA,MATANGWE COMMUNITY MEDICAL CENTRE
7,SIAYA,MATIBABU HOSPTIAL
8,SIAYA,OWENS MATERNITY & NURSING HOME
9,SIAYA,PORT FLORENCE COMM HOSPITAL-MAGETA
10,SIAYA,QUEENTERIC KAPIYO COMMUNITY
11,SIAYA,RANG’ALA MISSION HOSPITAL
12,SIAYA,SAGAM COMMUNITY HOSPITAL
13,SIAYA,SEGA COTTAGE HOSPITAL
14,SIAYA,ST ANN’S NYANGOMA DISPENSARY
15,SIAYA,ST. ELIZABETH HOSPITAL LWAK
16,SIAYA,ST.ANNE’S SEGA MISSION HOSPITAL
17,SIAYA,THE PORT FLORENCE HOSPITAL SIAYA
,,CLINIC
18,SIAYA,THE PORT FLORENCE HOSPITAL USENGE
,,CLINIC
19,SIAYA,ABIDHA HEALTH CENTRE
20,SIAYA,AKALA HEALTH CENTRE
21,SIAYA,AMBIRA SUB DISTRICT HOSPITAL
22,SIAYA,BONDO DISTRICT HOSPITAL
23,SIAYA,GOT AGULU SUB-DISTRICT HOSPITAL
24,SIAYA,MADIANY DISTRICT HOSPITAL
25,SIAYA,NGIYA HEALTH CENTRE
26,SIAYA,SIAYA DISTRICT HOSPITAL
27,SIAYA,YALA SUB DISTRICT HOSPITAL
,,TAITA TAVETA COUNTY
1,VOI,RIFLOT MEDICAL CENTER
2,VOI,ST. JOSEPH SHELTER OF HOPE HEALTH
,,CENTRE
3,VOI,VOI MEDICAL CENTRE
4,WUNDANYI,DAWIDA MATERNITY & NURSING HOME
5,TAITA TAVETA,SAGALLA HEALTH CENTRE
6,VOI,BUGUTA HEALTH CENTRE
7,VOI,BURA HEALTH CENTRE
8,VOI,MBALE HEALTH CENTRE
9,VOI,MGHANGE NYIKA HEALTH CENTRE
10,VOI,MOI HOSPITAL- VOI
11,VOI,MWATATE SUB-DISTRICT HOSPITAL
12,VOI,NDOVU HEALTH CENTRE
13,VOI,NJUKINI HEALTH CENTRE
